sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
WSH129	111303	66748	59.97	65297	61660	55.4	49247	44.25
WSH130	61961	36325	58.63	35689	33834	54.61	28903	46.65
WSH131	17630	8564	48.58	8384	7745	43.93	6443	36.55
WSH132	137964	90086	65.3	88474	84367	61.15	72847	52.8
WSH133	34073	16512	48.46	16277	15579	45.72	13517	39.67
WSH134	23942	12340	51.54	12257	11804	49.3	10498	43.85
WSH135	42232	27502	65.12	25627	22790	53.96	21443	50.77
WSH136	25023	13867	55.42	13345	12542	50.12	11134	44.5
WSH137	24750	10933	44.17	10815	9895	39.98	8194	33.11
WSH138	113482	75484	66.52	73042	67849	59.79	60674	53.47
WSH139	41819	19041	45.53	18851	17793	42.55	15416	36.86
WSH140	63295	32030	50.6	30971	29024	45.86	25812	40.78
WSH141	34734	18520	53.32	17500	16329	47.01	14131	40.68
WSH142	36100	20750	57.48	19341	17495	48.46	15694	43.47
WSH143	44306	27037	61.02	25654	23245	52.46	21138	47.71
WSH144	47359	22650	47.83	22306	21028	44.4	17604	37.17
WSH145	44700	27704	61.98	26678	25209	56.4	21614	48.35
WSH146	38551	21020	54.53	20314	19070	49.47	16753	43.46
WSH147	39808	19406	48.75	19235	18322	46.03	15644	39.3
WSH148	36767	18886	51.37	18350	17382	47.28	15496	42.15
WSH149	39590	21263	53.71	20357	19163	48.4	16597	41.92
WSH150	26557	14900	56.11	14525	13887	52.29	11509	43.34
WSH151	39294	21437	54.56	20585	18887	48.07	17127	43.59
WSH152	27175	14854	54.66	14149	13038	47.98	11908	43.82
WSH153	28500	14317	50.24	13857	12123	42.54	11280	39.58
WSH154	7548	2445	32.39	2366	2019	26.75	1715	22.72
WSH155	23235	8988	38.68	8848	7821	33.66	7153	30.79
WSH156	37502	16238	43.3	15733	14884	39.69	12744	33.98
WSH157	45289	23649	52.22	23297	22205	49.03	19751	43.61
WSH158	35248	18198	51.63	18112	17333	49.17	15241	43.24
WSH159	28978	15013	51.81	14576	13774	47.53	12622	43.56
WSH160	59845	34480	57.62	32494	29246	48.87	27439	45.85
WSH161	59298	34623	58.39	33355	31104	52.45	26317	44.38
WSH162	74910	40458	54.01	39450	36593	48.85	31960	42.66
WSH163	38424	17878	46.53	17640	16882	43.94	14277	37.16
WSH164	49744	23498	47.24	22908	22044	44.31	17715	35.61
WSH165	32588	15896	48.78	15596	14740	45.23	13303	40.82
WSH166	26796	13763	51.36	13595	12978	48.43	11908	44.44
WSH167	21576	12228	56.67	12130	11496	53.28	10391	48.16
WSH168	19598	8840	45.11	7973	6366	32.48	5743	29.3
WSH169	42468	12659	29.81	12178	10820	25.48	9722	22.89
WSH170	68249	37138	54.42	36249	34174	50.07	27923	40.91
WSH171	70598	38944	55.16	37757	35480	50.26	30240	42.83
WSH172	73095	37412	51.18	37011	35341	48.35	30065	41.13
WSH173	25133	12841	51.09	12250	11211	44.61	9982	39.72
